ObjectID,Title,ConstituentID,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,URL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
185791,1968 Mexico Olympics Dress,[46582],1968,Printed cotton,"34 1/4 x 21 5/8"" (87 x 55 cm)",Gift of Pablo and Cecilia León de la Barra Vargas,758.2014,Design,Architecture & Design,2014-10-06,Y,http://www.moma.org/collection/works/185791,,,,87,,,55,,
176107,3 Configurations in Anticipation of the Equinox Sunset,"[38024, 4108, 8247]",1971,Gelatin silver print,"6 11/16 × 9 3/4"" (17 × 24.7 cm)",Gift of the Roy Lichtenstein Foundation in honor of Jennifer Winkworth and Kynaston McShine and in memory of Harry Shunk and János Kender,1018.2013.288,Photograph,Photography,2013-10-24,Y,http://www.moma.org/collection/works/176107,,,,17,,,24.7,,
298025,"56 Leonard Street, New York, New York, USA",[7567],2006,Acrylic,"9 5/8 × 1 3/4 × 1 3/8"" (24.5 × 4.5 × 3.5 cm)",Gift of the Jacques Herzog and Pierre de Meuron Kabinett,802.2018.10,Architecture,Architecture & Design,2018-10-15,N,,,3.5,,24.5,,,4.5,,
72946,8th Element Black for Ventriloquist,[2923],1986,Lithograph,"composition (irreg.): 3 3/4 × 11 5/16"" (9.5 × 28.7 cm); sheet: 41 5/16 × 29 3/4"" (105 × 75.5 cm)",Gift of Jasper Johns,670.1993.8,Print,Drawings & Prints,1993-11-17,Y,http://www.moma.org/collection/works/72946,,,,9.5,,,28.7,,
83263,"A Fancy Group, in front of Petersburg",[2079],1864,Albumen silver print,"6 7/8 × 8 7/8"" (17.4 × 22.5 cm)",Anonymous gift,34.1941.76,Photograph,Photography,1941-01-16,Y,http://www.moma.org/collection/works/83263,,,,17.4,,,22.5,,
118597,A Little Thought,[25983],2000,"Video (color, sound)",3:54 min.,,459.2003,Video,Media and Performance,2003-07-16,Y,http://www.moma.org/collection/works/118597,,,,,,,,,
33724,A los Ojos de la Historia,[7490],1992,Watercolor and charcoal on paper,"60 x 49 1/4"" (152.4 x 125.1 cm)",Purchased with funds given by Patricia and Morris Orden,82.1996,Drawing,Drawings & Prints,1996-03-14,Y,http://www.moma.org/collection/works/33724,,,,152.4,,,125.1,,
150917,"A Single Series, Consisting of Twenty Choices from General Dynamic F.U.N.",[4488],1965,Screenprint from a portfolio of thirty-four offset lithographs and sixteen screenprints,"composition: 14 5/16 × 9 1/8"" (36.3 × 23.2 cm); sheet: 14 15/16 x 10"" (38 x 25.4 cm)",Mrs. Donald B. Straus Fund,427.1970.45,Print,Drawings & Prints,1970-10-22,Y,http://www.moma.org/collection/works/150917,,,,36.3,,,23.2,,
29921,À Haute Flamme,[4609],1955,Illustrated book with 5 drypoints on celluloid; and 1 engraving on celluloid (wrapper front),"page: 9 1/8 x 6 5/16"" (23 x 16 cm); prints: various dimensions.",The Louis E. Stern Collection,1007.1964.1-6,Illustrated Book,Drawings & Prints,1964-10-06,Y,http://www.moma.org/collection/works/29921,,,,23,,,16,,
51247,"Abington Branch Arrives Green Cove, VA",[3561],1856,Gelatin silver print,"10 13/16 × 13 9/16"" (27.6 × 34.5 cm)",Gift of the artist,340.1976,Photograph,Photography,1976-10-13,N,,,,,27.6,,,34.5,,
51729,"Abiquiu, New Mexico",[4700],1488,Gelatin silver print,"Image: 6 1/4 × 9 1/2"" (15.9 × 24.1 cm)
Overall: 17 1/2 × 15 13/16"" (44.4 × 40.2 cm)",Gift of the artist,360.1965,Photograph,Photography,1965-04-06,N,,,,,15.9,,,24.1,,
183818,ACO,"[28776, 46867, 8470]",2005,12-inch vinyl record,dimensions vary,Committee on Prints and Illustrated Books Fund,854.2013.21,Audio,Drawings & Prints,2013-10-10,Y,http://www.moma.org/collection/works/183818,,,,,,,,,
111945,"Adventures of an *, Storyboard","[32272, 33845]",1957,,6 7/8 x 5 7/8,"Hubley Collection, Deposit with Department of Film. Special Collections, MoMA.",921.1998,Work on Paper,Film,,N,,,,,17.46253493,,,14.92252985,,
110947,Africa Revisited,[33693],2001,"Book, offset printed with velour on abrasive fabric and suede","13 3/4 x 16 3/4 x 12 5/8"" (35 x 42.5 x 32 cm)",Gift of Alicia and Tannetta Fentener van Vlissingen in honor of their father Paul Fentener van Vlissingen,906.2007,Design,Architecture & Design,2007-11-07,Y,http://www.moma.org/collection/works/110947,,32,,35,,,42.5,,
279883,"After Oil (Das Island, Das Crude)","[70051, 70052]",2016,Inkjet print on canvas,"27 9/16 × 27 9/16 × 13/16"" (70 × 70 × 2 cm)",Fund for the Twenty-First Century,56.2018.1,Architecture,Architecture & Design,2018-02-12,Y,http://www.moma.org/collection/works/279883,,2,,70,,,70,,
114690,Air Sleeve,[7824],1980,"Super 8mm film transferred to video (color, silent)",2 min.,Committee on Media Funds,1345.2007,Video,Media and Performance,2007-12-10,Y,http://www.moma.org/collection/works/114690,,,,,,,,,120
56648,"Akron, Ohio",[2002],1980,Gelatin silver print,"7 9/16 × 11 1/4"" (19.2 × 28.6 cm)",Purchase,835.2,Photograph,Photography,2000-10-12,N,,,,,19.2,,,28.6,,
205433,Alberto Greco in Piedralaves,[49530],1963,"12 gelatin silver prints, printed 2003","Each (Image orientation): 11 13/16 × 9 5/16"" (30 × 23.7 cm)",Latin American and Caribbean Fund,261.2016.1-12,Photograph,Media and Performance,2016-05-02,N,,,0,,30,,,23.7,,
189279,"Album cover for Annette Peacock, I'm the One","[33474, 47359]",1972,Lithograph,"12 3/8 x 12 1/4"" (31.4 x 31.1 cm)",Committee on Architecture and Design Funds,191.2015,Design,Architecture & Design,2015-03-02,Y,http://www.moma.org/collection/works/189279,,,,31.43256287,,,31.11506223,,
185446,"Album cover for Talking Heads, Fear of Music","[8200, 46701, 46480, 46481, 41301]",1979,Lithograph,"12 x 12"" (30.5 x 30.5 cm)",Committee on Architecture and Design Funds,810.2014,Design,Architecture & Design,2014-10-06,Y,http://www.moma.org/collection/works/185446,,,,30.48006096,,,30.48006096,,
54297,Alexander Calder,[4284],1957,Gelatin silver print,"9 11/16 × 7 1/8"" (24.6 × 18.1 cm)",Gift of the artist,491.1959,Photograph,Photography,1959-04-22,Y,http://www.moma.org/collection/works/54297,,,,24.6,,,18.1,,
57674,"Aloha, Washington",[2002],1967,Gelatin silver print,"12 3/8 × 18 7/16"" (31.4 × 46.9 cm)",Purchase,1122.2,Photograph,Photography,2000-10-12,N,,,,,31.4,,,46.9,,
47937,Anna Magnani,[2470],1951,Gelatin silver print,"13 7/16 × 10 5/8"" (34.1 × 27.0 cm)",Gift of the artist,184.1959,Photograph,Photography,1959-04-22,Y,http://www.moma.org/collection/works/47937,,,,34.1,,,27,,
131970,"Announcement for Arman, Galerie Lawrence, Paris, May 11, 1965",[220],1965,"Resin cube with screws, nails, ball bearings, and printed text","1 3/4 x 1 9/16 x 1 3/16"" (4.5 x 4 x 3 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,3529.2008,Multiple,Drawings & Prints,2008-10-08,Y,http://www.moma.org/collection/works/131970,,3,,4.5,,,4,,
39287,Antony. Église Xiiie siècle,[229],1923,Matte albumen silver print,"Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.1366,Photograph,Photography,1968-03-06,N,,,,,,,,,,
26415,"APÉRITIF (plate, folio 14) from NE COUPEZ PAS MADEMOISELLE",[2349],1921,,"irreg. composition  9 9/16 x 6 7/8"" (24.3 x 17.4 cm)",The Louis E. Stern Collection,847.1964.4,Illustrated Book,Drawings & Prints,1964-10-06,N,,,,,24.3,,,17.4,,
167570,"Aquaculture Research and Development Center, Water Proving Ground Project, Liberty State Park, NJ (Aerial perspective)","[37851, 7564, 37852]",2010,Pigmented inkjet print,"29 x 44"" (73.7 x 111.8 cm)",Gift of the architects,92.2013.4,Architecture,Architecture & Design,2013-02-11,Y,http://www.moma.org/collection/works/167570,,,,73.66014732,,,111.7602235,,
11645,Arcade,[7067],1996,Illustrated book with one woodcut and eleven halftone reproductions,,Gift of Dan Redmon,119.1998.1-12,Illustrated Book,Drawings & Prints,1998-03-05,Y,http://www.moma.org/collection/works/11645,,,,,,,,,
207,"Arch Oboler Guest House (Eleanor's Retreat), project, Malibu, California, Perspective",[6459],1941,"Colored pencil, graphite, and color ink on tracing paper","16 15/16 x 19 1/4"" (43.1 x 48.9 cm)",Arthur Drexler Fund,113.1992,Architecture,Architecture & Design,1992-01-15,Y,http://www.moma.org/collection/works/207,,,,43.1,,,48.8951,,
169444,Archival envelope,[41829],,Archival envelope,,Fund for the Twenty-First Century,72.2013.383,Print,Drawings & Prints,2013-02-07,N,,,,,,,,,,
169586,"Archival envelope, cream-colored, used to contain archive materials",[41829],,Archival envelope,,Fund for the Twenty-First Century,72.2013.525,Print,Drawings & Prints,2013-02-07,N,,,,,,,,,,
48184,Are You Rea #24,[2578],1964,Lithograph,"6 1/4 × 9 1/16"" (15.8 × 23 cm)",Mr. and Mrs. Clark Winter Fund,193.1991.24,Photograph,Photography,1991-06-20,Y,http://www.moma.org/collection/works/48184,,,,15.8,,,23,,
93487,Arizona,[2002],1999,Gelatin silver print,"18 13/16 × 18 11/16"" (47.8 × 47.4 cm)",Gift of the artist,366.2005,Photograph,Photography,2005-05-11,N,,,,,47.8,,,47.4,,
163585,Armpiece,[7662],1967,Fabric,"27 9/16 x 7 5/16"" (70 x 18.5 cm)",Scott Burton Fund,1060.2010.34,Sculpture,Painting & Sculpture,2010-12-09,Y,http://www.moma.org/collection/works/163585,,18.5,,0,,,70,,
122630,Art & Project Bulletin #135,[3591],1983,"One from a set of 156 offset printed bulletins, exhibition copy","sheet (each): 11 5/8 x 16 9/16"" (29.6 x 42 cm)",Art & Project/Depot VBVR Gift,1099.2007.133,Print,Drawings & Prints,2007-11-12,N,,,,,29.6,,,42,,
121568,Art & Project Bulletin #138,[24409],,Folded copies of Art & Project Bulletins,"Overall: 12 5/8 x 18 1/8"" (32 x 46 x 6 cm)",Art & Project/Depot VBVR Gift,1101.2007.35,Print,Drawings & Prints,2007-11-12,N,,,6,,32,,,46,,
122582,Art & Project Bulletin #87,[1533],1975,"One from a set of 156 offset printed bulletins, exhibition copy","sheet (each): 11 5/8 x 16 9/16"" (29.6 x 42 cm)",Art & Project/Depot VBVR Gift,1099.2007.85,Print,Drawings & Prints,2007-11-12,N,,,,,29.6,,,42,,
155358,"Artist's Proof for the cover of Pepsi-Cola World, Spring 1960","[816, 1091, 8080]",1960,Lithograph,"12 1/2 x 9 1/2"" (31.8 x 24.1 cm)",Gift of Don Goeman,1079.2011.15,Design,Architecture & Design,2011-12-06,Y,http://www.moma.org/collection/works/155358,,,,31.7500635,,,24.13004826,,
8954,Aspen Center of Contemporary Art,[1349],1967,Silkscreen,"32 x 24"" (81.2 x 60.9 cm)",Gift of Mr. and Mrs. Armand P. Bartos,2251.1967,Design,Architecture & Design,1967-10-18,Y,http://www.moma.org/collection/works/8954,,,,81.2,,,60.9,,
180184,Assorted Woven Fabric Samples,[96],1933,"Nylon, wool, and cotton","Each: 1 1/2 x 4 1/2"" (3.8 x 11.4 cm)",Gift of Josef Albers,450.1970.21,Design,Architecture & Design,1970-11-05,N,,,,,,3.81,,11.43,,
50097,"At Verrière, the Summer Home of Thiollier",[5852],1900,Gelatin silver print,"11 3/4 × 15 5/8"" (29.8 × 39.8 cm)",Purchase,294.1985,Photograph,Photography,1985-10-02,N,,,,,29.8,,,39.8,,
118137,Atlas II from Atlas I - VI,[7479],1997,One from a series of six multiples with collage additions,"composition: 20 1/4 x 17 15/16"" (51.5 x 45.6 cm); sheet (folded): 6 x 4 1/8"" (15.2 x 10.5 cm); sheet (unfolded): 20 1/4 x 17 15/16"" (51.5 x 45.6 cm)",General Print Fund,312.2008.2,Print,Drawings & Prints,2008-03-12,Y,http://www.moma.org/collection/works/118137,,,,51.5,,,45.6,,
222257,"Audience during Nam June Paik's Moving Theatre No. 1, Paralelle Aufführungen Neuster Musik, on the street outside Kunsthandel Monet, Amsterdam, October 5, 1962",[-1],1962,Gelatin silver print,"sheet: 11 1/8 × 7 15/16"" (28.2 × 20.2 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,3723.2008.L02,Photograph,Drawings & Prints,,N,,,0,,0,,,0,,
120300,AUTO FIRE LIFE,[32750],1984,"Video (color, sound)",7:02 min.,Gift of the artist,755.1993,Video,Media and Performance,1993-09-17,Y,http://www.moma.org/collection/works/120300,,,,,,,,,422
43818,Autobus,[229],1908,Matte albumen silver print,"Approx. 6 1/2 × 8 1/2"" (16.5 × 21.6 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.957,Photograph,Photography,1968-03-06,Y,http://www.moma.org/collection/works/43818,,,,,,,,,
27134,Back cover from Le Poème de l'angle droit (The Poem of the Right Angle),[3426],1947,"Lithograph with collage from an illustrated book with 121 lithographs, including covers (one with collage)","composition (irreg.): 15 3/4 × 11 3/4"" (40 × 29.8 cm); overall (closed): 17 1/16 × 13 1/16 × 1 7/8"" (43.3 × 33.1 × 4.7 cm)",The Louis E. Stern Collection,886.1964.121,Illustrated Book,Drawings & Prints,1964-10-06,Y,http://www.moma.org/collection/works/27134,,,,40,,,29.8,,
181824,"Balboa Terminals, Dry Dock #1. Pumping plant erecting centrifugal pumps and check valves. Looking East",[8595],1916,Gelatin silver print,"6 15/16 × 9 3/8"" (17.7 × 23.8 cm)",Purchase,570.1971.49,Photograph,Photography,1971-11-10,N,,,,,17.7,,,23.8,,
8725,Bananas,[3020],1926,Lithograph,"app. 40 x 60"" (101.6 x 152.4 cm)","Gift of Mr. and Mrs. Alfred H. Barr, Jr.",1275.1968,Design,Architecture & Design,1968-10-07,Y,http://www.moma.org/collection/works/8725,,,,101.6002032,,,152.4003048,,
161413,"Banco Pinto & Sotto Mayor, Oliveira de Azeméis, Portugal (Floor plan)",[29732],1971,Ink on paper,"24 7/16 x 28 3/4"" (62 x 73 cm)",Gift of EE Cruz & Co,846.2012,Architecture,Architecture & Design,2012-06-07,Y,http://www.moma.org/collection/works/161413,,,,62,,,73,,
44093,"Barber, Master Sumner, Fayel, Boon, Denman. Soldiers 55th Regiment. Castle Barracks, Athlone",[959],1854,Albumen silver print from a paper negative,"5 3/4 × 4 3/4"" (14.7 × 12.1 cm)",Gift of Edmund J. McRickard,22.1983,Photograph,Photography,1983-01-13,N,,,,,14.7,,,12.1,,
106685,"Barcelona Chair (Front elevation, plan strap system)",[7166],1931,Pencil and colored pencil on tracing paper,"35 11/16 x 38 3/4"" (90.6 x 98.4 cm)","Mies van der Rohe Archive, gift of the architect",957.1974,Mies van der Rohe Archive,Architecture & Design,1974-11-06,Y,http://www.moma.org/collection/works/106685,,,,90.6464,,,98.4252,,
195623,Barcham Green Portfolio No. 3,[3515],1986,"Aquatint from a portfolio of five aquatints, two with photogravure","plate: 14 3/4 × 15 1/4"" (37.5 × 38.7 cm); sheet: 31 5/16 × 23 1/16"" (79.5 × 58.5 cm)",The Sue and Edgar Wachenheim III Endowment,673.2015.3,Print,Drawings & Prints,2015-06-03,Y,http://www.moma.org/collection/works/195623,,,,37.46507493,,,38.73507747,,
182044,"Barrio Piedrabuena, Buenos Aires, Argentina","[44160, 44161, 44162, 44163, 46149, 46151, 7229]",1974,Gelatin silver print,"7 x 4 1/2"" (17.8 x 11.4 cm)",Gift of MSGSSS,747.2014.3,Architecture,Architecture & Design,2014-10-06,Y,http://www.moma.org/collection/works/182044,,,,17.78003556,,,11.43002286,,
18699,"BARTLEBY, THE SCRIVENER, plate 177 (folio 68) from THE WOOD ENGRAVINGS OF LEONARD BASKIN 1948-1959",[369],1959,"Wood engraving, printed in black","irreg composition  3 11/16 x 5 1/2"" (9.3 x 14 cm)",John B. Turner Fund,574.1966.62,Illustrated Book,Drawings & Prints,1966-11-03,N,,,,,9.3,,,14,,
70570,Battle at Valmy (Schlacht von Valmy) from the portfolio Das Buch Le Grand,[4073],1913,Etching,"plate: 5 5/16 x 3 7/8"" (13.5 x 9.8 cm); sheet: 15 3/8 x 11"" (39 x 28 cm)",Given anonymously,527.1942,Print,Drawings & Prints,1942-11-19,Y,http://www.moma.org/collection/works/70570,,,,13.5,,,9.8,,
47808,Bay of Panama from Grand Hotel,[4192],1875,Albumen silver print,"5 7/16 × 9 3/16"" (13.8 × 23.3 cm)",Transferred from the Museum Library,182.1964.12,Photograph,Photography,1964-02-11,N,,,,,13.8,,,23.3,,
194198,Beggar,[5145],1930,Gelatin silver print,"10 3/16 × 7 3/8"" (25.8 × 18.7 cm)",Acquired through the generosity of the family of August Sander,472.2015.566,Photograph,Photography,2015-05-28,Y,http://www.moma.org/collection/works/194198,,,,,,,,,
188113,Bent Lace,[31648],2014,Bronze,"112 x 69 x 40"" (284.5 x 175.3 x 101.6 cm)",Gift of Agnes Gund in honor of David Rockefeller on his 100th birthday,249.2015,Sculpture,Painting & Sculpture,2015-03-10,Y,http://www.moma.org/collection/works/188113,,101.6002032,,284.480569,,707.6113581,175.2603505,,
2359,Beocord VX 5000 Video Cassette Recorder,[6943],1989,"Steel, aluminum, and plastic","3 1/4 x 21 1/4 x 11 3/4"" (8.2 x 54 x 29.8 cm)",Gift of the manufacturer,168.1991,Design,Architecture & Design,1991-06-04,Y,http://www.moma.org/collection/works/2359,,29.8451,,8.2,,,53.9751,,
13225,"Berlin Horsemarket (Berliner Pferdemarkt) (plate, page 31) from the periodical Münchner Blätter für Dichtung und Graphik, vol. 1, no. 2 (February 1919)",[2372],1919,Lithograph from a periodical with five lithographs,"composition (irreg.): 8 3/8 x 7"" (21.2 x 17.8 cm); page: 10 13/16 x 8 9/16"" (27.5 x 21.7 cm)",Gift of Curt Valentin,187.1973.11,Periodical,Drawings & Prints,1973-05-07,Y,http://www.moma.org/collection/works/13225,,,,21.2,,,17.8,,
103568,Between and Including from the Museum in Progress project Interventions: Cooperation Secession: Individual Exhibitions,[30926],1999,"Lithograph, offset printed","sheet (two-page spread): 18 1/2 x 24 13/16"" (47 x 63 cm)",Linda Barth Goldstein Fund,514.2006.125,Print,Drawings & Prints,2006-06-01,N,,,,,47,,,63,,
202238,Bielefelder Bibliophilen Vereinigung e.V. letterhead,[5947],1930,Letterpress,"11 1/2 × 8 1/4"" (29.2 × 21 cm)","Elaine Lustig Cohen Collection, gift of Lawrence Benenson and the Committee on Architecture and Design Funds",1372.2015.2,Design,Architecture & Design,2015-10-19,Y,http://www.moma.org/collection/works/202238,,,,29.21005842,,,20.95504191,,
179295,Biophilia,"[46144, 39233, 38789, 45998, 46095, 46096, 45521, 46097, 44115, 46098, 45999, 46000, 25966, 46142, 46143]",2011,Digital application,,Gift of Björk and One Little Indian,348.2014,Design,Architecture & Design,2014-05-19,Y,http://www.moma.org/collection/works/179295,,,,,,,,,
56186,Birth,[5441],1971,Chromogenic color prints,"6 1/2 × 4 9/16"" (16.5 × 11.6 cm)",Purchase,698.1976.1-24,Photograph,Photography,1976-12-08,Y,http://www.moma.org/collection/works/56186,,,,16.5,,,11.6,,
87717,Black (5th) from Red Shift,[1652],1987,One from a portfolio of five lithographs,"composition and sheet: 30 × 22 1/2"" (76.2 × 57.1 cm)",Gift of Emily Fisher Landau,337.1988.5,Print,Drawings & Prints,1988-10-25,Y,http://www.moma.org/collection/works/87717,,,,76.2,,,57.1,,
18712,"BLACK CONCENTRATED (3 page fold-out plate, folios 22, 23, and 24) from EL NEGRO",[4126],1981,"Lithograph, printed in black","irreg composition  11 x 19 1/16"" (28 x 48.5 cm)",,574.1983.11,Illustrated Book,Drawings & Prints,1983-05-25,N,,,,,28,,,48.5,,
290939,Black Panther and Me (ii),[37569],1978,Oil on canvas,"26 1/2 x 33"" (67.3 x 83.8 cm)",Latin American and Caribbean Fund,737.2018,Painting,Painting & Sculpture,2018-10-01,Y,http://www.moma.org/collection/works/290939,,2.5,,67.3,,,83.8,,
36976,Blind Time III,[4108],1985,Graphite on paper,"38 x 50"" (96.5 x 127 cm)",Acquired with matching funds from Michael Blankfort and the National Endowment for the Arts and purchase (by exchange),450.1986,Drawing,Drawings & Prints,1986-12-22,Y,http://www.moma.org/collection/works/36976,,,,96.5,,,127,,
62759,Blondipencuria from Pintiquinestras,[5181],1959,One from a portfolio of 16 lithographs,"composition (irreg.): 17 5/16 x 14 9/16"" (44 x 37 cm); sheet: 25 3/8 x 19 11/16"" (64.5 x 50 cm)",Gift of the artist,138.1970.9,Print,Drawings & Prints,1970-03-05,Y,http://www.moma.org/collection/works/62759,,,,44,,,37,,
68194,Blue Background,[5247],1911,Aquatint,"plate: 15 3/16 x 21 3/8"" (38.6 x 54.3cm); sheet: 19 3/4 x 26 5/16"" (50.2 x 66.8cm)",Purchase,384.1958,Print,Drawings & Prints,1958-12-19,Y,http://www.moma.org/collection/works/68194,,,,38.6,,,54.3,,
111262,Blueberry Surprise,[7929],2006,Portfolio of 44 offset lithographs,"sheet (each): 11 x 8 7/16"" (28 x 21.4 cm); composition (each): 7 3/16 x 4 15/16"" (18.3 x 12.5 cm) except 1033.2007.44: composition: 5 9/16 x 4 15/16"" (14.1 x 12.5 cm)",The Monroe Wheeler Fund,1033.2007.1-44,Print,Drawings & Prints,2007-11-12,Y,http://www.moma.org/collection/works/111262,,,,28,,,21.4,,
86614,"Bona (plate, facing page 80) from Cane",[4758],2000,One from an illustrated book with ten woodcuts and a supplementary suite of seven woodcuts,"composition: 10 3/8 × 12 7/8"" (26.3 × 32.7 cm); page (each): 11 1/2 × 13 7/8"" (29.2 × 35.3 cm)",Gift of Anna Marie and Robert F. Shapiro,1388.2000.A09,Illustrated Book,Drawings & Prints,2000-11-09,Y,http://www.moma.org/collection/works/86614,,,,26.3,,,32.7,,
181164,Boogie Nights,[46060],1997,35mm film,,Gift of Warner Bros.,F2014.81,Film,Film,2014-05-06,Y,http://www.moma.org/collection/works/181164,,,,,,,,,
